Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;742-33101.0412204032.141.3.3.90.93.1500000000;33101.0412204032.141.3.3.90.93.1500000000;5500;0;0;0;0;0;0;0;0;0;5423,22;0;0
Analitico;0;0;451-33101.1751202141.008.4.4.90.35.1500004100;33101.1751202141.008.4.4.90.35.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;469-33101.1751202141.009.4.4.90.35.1500004100;33101.1751202141.009.4.4.90.35.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;472-33101.1957202151.012.4.4.90.35.1500004100;33101.1957202151.012.4.4.90.35.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;476-33101.1957202151.014.4.4.90.35.1500004100;33101.1957202151.014.4.4.90.35.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;505-33101.1545102011.011.4.4.90.35.1500002100;33101.1545102011.011.4.4.90.35.1500002100;6626538,57;0;0;0;0;0;0;0;366761,88;1489881,23;0;-1079271,78;1489881,23
Analitico;0;0;647-33101.1648202131.022.4.4.90.35.1500005100;33101.1648202131.022.4.4.90.35.1500005100;1000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;383-33101.1545102011.011.4.4.90.36.1500002100;33101.1545102011.011.4.4.90.36.1500002100;48000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;507-33101.1648202131.022.4.4.90.36.1500005100;33101.1648202131.022.4.4.90.36.1500005100;1000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;454-33101.1751202141.008.4.4.90.39.1500004100;33101.1751202141.008.4.4.90.39.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;475-33101.1957202151.012.4.4.90.39.1500004100;33101.1957202151.012.4.4.90.39.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;506-33101.1545102011.011.4.4.90.39.1500002100;33101.1545102011.011.4.4.90.39.1500002100;368433,57;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;508-33101.1648202131.022.4.4.90.39.1500005100;33101.1648202131.022.4.4.90.39.1500005100;1000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;94-33101.1545102011.011.4.4.90.51.1500002100;33101.1545102011.011.4.4.90.51.1500002100;0;4871901,57;0;-3451532,97;-162120,21;0;0;0;0;0;0;0;0
