Código;Indicador;Tipo;Descrição;Saldo Anterior;D/C;Débito até mês;Crédito até mês;Saldo Atual;D/C;
122000000;NI;S;INVESTIMENTOS;1.116.355,01;D;0,00;124,82;1.116.230,19;D
122100000;NI;S;PARTICIPAÇÕES PERMANENTES;1.018.996,02;D;0,00;0,00;1.018.996,02;D
122110000;NI;S;PARTICIPAÇÕES PERMANENTES - CONSOLIDAÇÃO;1.018.996,02;D;0,00;0,00;1.018.996,02;D
122110100;NI;S;PARTICIPAÇÕES AVALIADAS PELO MÉTODO DE EQUIVALÊNCIA PATRIMONIAL;1.018.996,02;D;0,00;0,00;1.018.996,02;D
122110195;P;A;OUTRAS PARTICIPAÇÕES - MEP;1.018.996,02;D;0,00;0,00;1.018.996,02;D
122200000;NI;S;PROPRIEDADES PARA INVESTIMENTO;97.358,99;D;0,00;124,82;97.234,17;D
122210000;NI;S;PROPRIEDADES PARA INVESTIMENTO - CONSOLIDAÇÃO;97.358,99;D;0,00;124,82;97.234,17;D
122210200;NI;S;BENS IMÓVEIS NÃO DESTINADOS A USO;97.358,99;D;0,00;124,82;97.234,17;D
122210201;P;A;TERRENOS;97.358,99;D;0,00;124,82;97.234,17;D
123000000;NI;S;IMOBILIZADO;1.096.165.854,16;D;125.937.472,52;64.068.365,79;1.158.034.960,89;D
123100000;NI;S;BENS MOVEIS;432.144.482,31;D;70.148.421,66;1.164.582,71;501.128.321,26;D
123110000;NI;S;BENS MOVEIS-CONSOLIDAÇÃO;432.144.482,31;D;70.148.421,66;1.164.582,71;501.128.321,26;D
123110100;NI;S;MAQUINAS, APARELHOS, EQUIPAMENTOS E FERRAMENTAS;63.718.223,85;D;11.943.791,35;46.140,00;75.615.875,20;D
123110101;P;A;APARELHOS DE MEDIÇÃO E ORIENTAÇÃO;56.782,00;D;0,00;0,00;56.782,00;D
123110102;P;A;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;723.937,18;D;0,00;0,00;723.937,18;D
